,move,best_move,fen_position,eval_drop,color,game_uuid,result,time_control
606,d1b3,c3d5,r1bqk2r/ppp2ppp/2np1n2/4p3/1bP5/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq - 2 7,0.54,w,d3e95ee4-b301-11ee-8ec0-6cfe544c0428,win,180
607,d2d3,f3e5,r1bqk2r/ppp2ppp/2n2n2/3pp3/2P5/2Q2NP1/PP1PPPBP/R1B2RK1 w kq - 0 9,1.6700000000000002,w,d3e95ee4-b301-11ee-8ec0-6cfe544c0428,win,180
608,h2h4,g1f3,rnbqkbnr/ppp1pppp/3p4/8/P7/8/1PPPPPPP/RNBQKBNR w KQkq - 0 2,0.59,w,7f36b78d-b303-11ee-8ec0-6cfe544c0428,checkmated,180
609,b2b3,d2d4,rnbqkb1r/ppp1pppp/3p1n2/8/P6P/8/1PPPPPP1/RNBQKBNR w KQkq - 1 3,0.8700000000000001,w,7f36b78d-b303-11ee-8ec0-6cfe544c0428,checkmated,180
610,f1e2,c1b2,rn1qk2r/pp2bppp/2ppbn2/4p3/P6P/1P1PP1P1/2P2P2/RNBQKBNR w KQkq - 1 7,0.36,w,7f36b78d-b303-11ee-8ec0-6cfe544c0428,checkmated,180
611,c1d2,c1b2,rn2k2r/ppq1bppp/2ppbn2/4p3/P6P/1P1PP1P1/2P1BP2/RNBQK1NR w KQkq - 3 8,0.55,w,7f36b78d-b303-11ee-8ec0-6cfe544c0428,checkmated,180
612,b1c3,g1f3,r3k2r/ppqnbppp/2ppbn2/4p3/P6P/1P1PP1P1/2PBBP2/RN1QK1NR w KQkq - 5 9,0.42999999999999994,w,7f36b78d-b303-11ee-8ec0-6cfe544c0428,checkmated,180
613,g1f3,g1h3,r4rk1/ppqnbppp/2ppbn2/4p3/P6P/1PNPP1P1/2PBBP2/R2QK1NR w KQ - 7 10,0.62,w,7f36b78d-b303-11ee-8ec0-6cfe544c0428,checkmated,180
614,h2h4,None,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,0.37,w,377a5919-b304-11ee-8ec0-6cfe544c0428,resigned,180
615,h4h5,d2d4,rnbqkbnr/ppp1pppp/8/3p4/7P/8/PPPPPPP1/RNBQKBNR w KQkq - 0 2,0.76,w,377a5919-b304-11ee-8ec0-6cfe544c0428,resigned,180
